time,w,q,u,lambda_z0,lambda_q,Phi
0,0.500000,0.000000,1.000000,2322.052852,-25.000001,0.000000
1,0.555061,0.400000,0.000000,2197.151232,-15.383821,-15.383821
2,0.576386,0.240000,0.000000,1969.456710,-6.582736,-6.582736
3,0.574763,0.144000,0.000000,1745.737388,-4.411462,-4.411462
4,0.564894,0.086400,0.000000,1534.951865,-3.502360,-3.502360
5,0.547585,0.104580,0.131850,1350.221662,-3.090128,0.206116
6,0.523630,0.115488,0.000000,1191.561344,-2.909081,-2.909081
7,0.494310,0.069293,0.000000,1045.363716,-2.852796,-2.852796
8,0.461216,0.041576,0.000000,911.984213,-2.844360,-2.844360
9,0.425896,0.024945,0.000000,791.840498,-2.863795,-2.863795
10,0.389657,0.061126,0.115397,696.828086,-2.906079,-0.021142
11,0.353522,0.082835,0.000000,624.354921,-2.944848,-2.944848
12,0.318313,0.049701,0.000000,554.813669,-2.984698,-2.984698
13,0.284705,0.029820,0.000000,488.304619,-3.009186,-3.009186
14,0.253189,0.017892,0.000000,426.027779,-3.019624,-3.019624
15,0.224037,0.059099,0.120908,386.968106,-3.025778,-0.003077
16,0.197335,0.083822,0.000000,367.897199,-3.014503,-3.014503
17,0.173088,0.050293,0.000000,340.837153,-3.005346,-3.005346
18,0.151278,0.030176,0.000000,308.104109,-2.986580,-2.986580
19,0.131843,0.018106,0.000000,273.175824,-2.959810,-2.959810
20,0.114641,0.058017,0.117885,262.324331,-2.934419,0.012696
21,0.099474,0.081964,0.000000,271.172288,-2.898453,-2.898453
22,0.086144,0.049178,0.000000,264.377385,-2.869793,-2.869793
23,0.074497,0.029507,0.000000,246.358648,-2.837681,-2.837681
24,0.064384,0.017704,0.000000,222.452764,-2.802161,-2.802161
25,0.055640,0.055208,0.111464,224.594181,-2.771059,0.015551
26,0.048081,0.077711,0.000000,246.930844,-2.733791,-2.733791
27,0.041549,0.046626,0.000000,248.581140,-2.704237,-2.704237
28,0.035927,0.027976,0.000000,235.763200,-2.673346,-2.673346
29,0.031115,0.016786,0.000000,215.150129,-2.640454,-2.640454
30,0.027009,0.052095,0.105060,222.690264,-2.612538,0.013958
31,0.023496,0.073281,0.000000,251.052376,-2.580530,-2.580530
32,0.020480,0.043969,0.000000,255.508051,-2.554998,-2.554998
33,0.017901,0.026381,0.000000,243.691809,-2.528536,-2.528536
34,0.015711,0.015829,0.000000,223.178125,-2.500257,-2.500257
35,0.013856,0.049313,0.099540,232.497939,-2.476722,0.011768
36,0.012273,0.069404,0.000000,263.051115,-2.450159,-2.450159
37,0.010912,0.041642,0.000000,267.775078,-2.428695,-2.428695
38,0.009748,0.024985,0.000000,255.341357,-2.406196,-2.406196
39,0.008762,0.014991,0.000000,233.881220,-2.381743,-2.381743
40,0.007931,0.046942,0.094868,243.233908,-2.361671,0.010036
